City,AQI,pm2.5/1h,pm10/1h,co/1h,co2/1h,o3/1h,o3/8h,so2/1h
阿坝州,33,5,10,0.8,4,92,64,7
阿克苏地区,55,17,29,0.45,3,123,104,5
阿拉善盟,71,27,43,0.7,7,150,124,6
阿勒泰地区,36,15,12,0.2,17,80,71,4
阿里地区,66,1,14,0.4,4,133,117,5
安康,73,25,49,0.5,13,104,126,15
安庆,57,27,56,0.48,10,124,107,7
鞍山,44,11,43,0.54,11,101,87,7
安顺,15,7,10,0.68,15,37,28,4
安阳,57,27,58,0.38,9,132,107,8
白城,58,6,14,0.15,5,116,108,4
百色,35,10,34,0.95,16,39,31,19
白山,43,8,23,0.5,7,107,85,6
白银,54,9,10,0.65,18,96,103,8
保定,56,11,40,0.22,10,129,106,5
宝鸡,41,19,35,0.56,26,82,81,5
保山,56,14,29,0.35,7,116,105,4
包头,54,9,38,0.34,11,119,103,7
巴彦淖尔,51,15,41,0.7,8,120,100,10
巴中,48,7,11,0.6,12,96,94,4
北海,66,47,74,0.9,18,33,30,6
北京,46,15,23,0.23,9,110,90,2
蚌埠,58,14,64,0.27,10,105,94,6
本溪,42,10,33,0.43,10,105,83,8
毕节,20,14,19,0.6,15,44,31,6
滨州,64,15,59,0.55,18,142,115,10
博州,49,10,27,0.35,5,121,97,4
亳州,58,9,64,0.35,8,126,105,10
沧州,52,23,39,0.43,9,126,101,12
长春,42,7,25,0.33,12,92,83,3
常德,54,33,55,0.82,14,90,88,7
昌都,56,6,33,0.3,7,119,106,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,41,13,23,0.57,9,104,81,7
长沙,49,34,41,0.75,26,72,68,8
常熟,47,7,26,0.35,11,97,92,10
长治,73,18,54,0.8,12,139,126,8
常州,39,18,38,0.59,30,90,73,9
朝阳,55,8,28,0.45,5,110,104,5
潮州,36,4,8,0.63,4,87,70,7
承德,48,6,34,0.26,5,106,94,8
成都,28,9,17,0.63,18,62,54,4
郴州,29,8,15,0.6,15,58,57,4
赤峰,49,5,22,0.28,13,101,97,8
池州,61,26,65,0.57,28,134,111,6
重庆,30,17,29,0.66,25,46,41,5
崇左,23,11,22,0.85,15,26,22,2
楚雄州,55,12,35,0.45,5,126,104,10
滁州,64,33,76,0.4,16,118,108,11
大连,51,17,50,0.41,14,108,91,8
大理州,49,10,33,0.5,8,117,97,5
丹东,44,12,40,0.53,14,101,86,14
大庆,42,8,20,0.32,8,93,82,3
大同,53,5,21,0.87,10,118,102,13
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,49,4,15,0.35,6,102,97,5
达州,34,21,33,0.57,35,63,59,8
德宏州,44,11,43,0.55,7,117,80,4
德阳,29,5,8,0.38,11,73,56,2
德州,65,6,47,0.2,6,125,116,2
定西,81,5,9,0.45,6,131,135,3
迪庆州,68,7,25,0.2,5,122,120,6
东莞,25,9,17,0.66,26,59,48,9
东营,61,10,43,0.17,6,129,112,6
鄂尔多斯,73,21,94,0.58,16,125,104,9
恩施州,35,17,32,0.7,35,58,69,2
鄂州,50,23,49,0.37,14,117,91,6
防城港,46,21,45,0.8,13,36,25,4
佛山,24,12,23,0.81,44,25,21,3
抚顺,44,7,19,0.27,7,106,86,8
阜新,49,10,44,0.24,4,104,97,5
阜阳,52,12,51,0.3,24,111,99,5
富阳,0,0,0,0.0,0,0,0,0
福州,51,14,28,0.35,4,115,100,5
抚州,56,39,58,0.88,11,83,63,10
甘南州,43,7,0,0.8,12,86,84,3
赣州,39,8,18,1.16,12,80,77,3
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,34,8,14,0.35,20,77,66,18
广安,36,6,16,0.42,10,88,70,4
广元,35,5,8,0.63,23,70,69,8
广州,17,5,8,0.73,28,45,33,4
贵港,24,10,21,0.7,16,50,46,13
桂林,33,6,14,0.7,10,83,64,6
贵阳,20,9,19,0.53,14,50,38,5
果洛州,31,19,0,0.9,16,59,60,21
固原,74,6,11,0.9,14,113,127,10
哈尔滨,44,12,32,0.38,12,86,86,8
海北州,71,16,0,0.9,12,150,123,14
海东地区,46,12,13,0.6,15,103,91,6
海口,34,19,33,0.66,10,68,60,4
海门,39,17,38,0.5,12,69,72,10
海南州,55,9,16,0.9,13,112,104,10
海西州,50,17,46,0.5,12,102,98,8
哈密地区,30,21,22,0.85,11,63,48,1
邯郸,61,32,51,0.3,12,137,112,6
杭州,62,21,55,0.51,24,135,113,8
汉中,76,20,27,0.68,6,154,130,4
鹤壁,54,10,41,0.1,7,130,103,7
河池,19,10,18,0.87,8,33,31,5
合肥,63,15,58,0.37,14,113,114,3
鹤岗,47,10,24,0.43,3,97,92,3
黑河,44,6,25,0.47,7,89,87,7
衡水,65,10,39,0.47,9,134,116,9
衡阳,38,18,25,0.65,11,83,74,5
和田地区,406,167,505,0.15,6,116,102,3
河源,33,5,24,0.9,14,62,64,5
菏泽,59,21,66,0.27,15,123,89,8
贺州,15,6,13,0.35,12,35,29,6
红河州,68,22,55,0.57,7,131,120,9
淮安,54,10,55,0.26,9,103,94,4
淮北,52,15,51,0.13,9,116,99,5
怀化,39,10,25,0.98,6,81,77,2
淮南,62,15,72,0.27,13,111,101,7
黄冈,51,22,50,0.9,14,122,98,10
黄南州,36,9,20,1.0,24,69,70,13
黄山,53,32,53,0.4,12,111,102,6
黄石,51,31,50,0.93,26,94,76,9
呼和浩特,53,4,14,0.53,11,116,102,6
惠州,26,10,18,0.58,21,53,51,6
葫芦岛,55,12,40,0.4,10,113,104,7
呼伦贝尔,54,7,16,0.4,7,108,103,2
湖州,66,38,79,0.73,40,89,86,11
佳木斯,43,6,14,0.23,7,89,85,4
吉安,46,21,36,0.55,16,80,90,6
江门,52,25,51,0.9,48,31,20,9
江阴,53,4,36,0.4,21,109,102,7
胶南,64,14,75,0.6,18,128,109,3
胶州,62,7,72,0.3,11,124,107,5
焦作,68,27,84,0.42,16,130,115,8
嘉兴,54,9,29,0.33,17,100,103,4
嘉峪关,45,16,18,0.5,0,86,89,0
揭阳,32,8,19,0.78,20,67,63,6
吉林,47,7,23,0.39,6,104,93,5
即墨,61,18,70,0.3,7,117,103,6
济南,60,19,67,0.36,14,129,101,7
金昌,37,8,26,0.67,11,80,72,3
晋城,60,18,67,0.4,13,129,107,9
景德镇,56,37,60,0.38,11,118,85,8
荆门,78,39,103,0.58,18,77,63,7
荆州,67,27,81,0.65,15,95,69,8
金华,63,29,65,0.47,14,147,114,5
济宁,62,21,72,0.37,14,132,104,6
金坛,51,8,50,0.8,15,98,95,3
晋中,61,40,59,0.47,13,120,111,7
锦州,53,13,53,0.35,10,105,99,6
九江,106,79,30,0.62,19,101,87,7
酒泉,44,17,35,0.5,9,92,87,6
鸡西,36,10,17,0.35,8,73,70,3
句容,46,23,43,0.5,17,88,91,5
开封,71,35,90,0.36,14,135,97,12
喀什地区,55,17,57,0.4,9,136,94,4
克拉玛依,48,21,46,0.42,9,119,95,4
克州,86,2,57,0.7,1,169,141,7
库尔勒,47,4,19,0.43,6,96,92,4
昆明,53,12,27,0.63,16,110,102,8
昆山,51,7,43,0.4,8,105,100,4
来宾,28,9,27,0.9,11,49,28,7
莱芜,88,65,99,0.67,18,89,77,10
莱西,53,11,49,0.4,5,121,102,5
莱州,67,16,64,0.5,12,147,119,9
廊坊,46,6,25,0.28,14,119,91,3
兰州,46,12,30,0.57,28,99,90,5
拉萨,85,14,48,0.33,7,166,140,5
乐山,20,11,18,0.62,21,55,39,3
凉山州,53,13,31,0.68,10,141,102,12
连云港,48,9,45,0.46,12,94,94,8
聊城,66,20,80,0.3,10,133,105,6
辽阳,45,17,38,0.38,6,103,88,7
辽源,50,5,19,0.4,4,107,99,26
丽江,47,7,27,0.53,7,101,93,7
临安,78,21,46,0.6,20,144,132,10
临沧,61,24,43,0.0,0,125,111,7
临汾,57,34,57,0.81,10,130,107,13
临夏州,38,6,7,0.6,0,0,75,4
临沂,62,29,71,0.3,15,134,106,5
林芝,48,5,26,0.3,6,107,95,6
林芝地区,18,4,16,0.35,6,51,35,3
丽水,52,30,51,0.43,13,111,101,7
六盘水,33,14,32,0.7,32,44,55,8
柳州,17,11,15,0.82,11,53,33,4
溧阳,58,10,35,0.8,14,109,108,5
陇南,58,8,14,0.65,9,139,108,4
龙岩,47,7,13,0.45,11,94,92,4
娄底,48,24,42,1.0,15,99,94,3
六安,59,17,66,0.33,13,81,79,5
漯河,72,22,92,0.48,12,118,91,8
洛阳,56,16,60,0.36,16,118,101,6
泸州,32,22,28,0.65,18,33,18,7
吕梁,60,19,68,1.1,24,113,100,35
马鞍山,60,10,68,0.32,12,117,110,5
茂名,37,24,36,0.83,16,60,52,3
眉山,19,8,16,0.57,34,38,36,7
梅州,37,4,11,0.53,19,71,72,6
绵阳,37,3,3,0.43,16,89,73,3
牡丹江,44,12,37,0.2,11,93,87,2
南昌,73,44,94,0.78,19,104,76,6
南充,39,13,24,0.5,13,81,76,3
南京,61,17,69,0.49,18,106,97,8
南宁,28,12,27,0.89,22,34,25,6
南平,48,15,27,0.5,6,101,95,5
南通,64,5,76,0.26,6,103,100,10
南阳,89,27,126,0.74,16,112,97,5
那曲地区,46,15,27,0.57,8,98,90,5
内江,18,11,17,0.53,20,43,25,2
宁波,80,12,36,0.48,16,115,134,6
宁德,54,35,56,0.6,21,85,63,7
怒江州,52,15,52,0.8,11,103,61,9
盘锦,53,10,48,0.47,7,108,102,6
攀枝花,47,11,22,0.7,17,111,93,13
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,70,32,87,0.53,19,109,84,17
平度,59,14,65,0.5,6,133,106,8
平凉,50,17,29,0.6,26,91,98,6
萍乡,46,21,31,1.42,14,89,91,11
普洱,64,25,75,0.35,11,125,109,6
莆田,61,12,33,0.3,11,119,111,3
濮阳,52,14,52,0.43,9,120,91,6
黔东南州,20,5,11,0.55,19,54,39,17
黔南州,14,8,0,0.5,11,43,24,16
黔西南州,14,7,13,0.4,11,37,21,4
青岛,72,10,92,0.32,14,111,95,4
庆阳,50,21,32,0.8,11,96,98,3
清远,17,8,16,0.7,21,42,33,6
